Name,Type,Address,City,Phone,Services,Manager,X,Y,Week days,Friday,Rating,Lat,Long
מוסך מאירמן יחזקאל,מוסך מורשה,סגולה 2,פתח תקווה,03-9313022,מכונאות רכב בנזין,מאירמן יחזקאל,189700.53,667185.03,07:00 - 16:00,07:00 - 13:00,4.4,32.097669,34.88928
כהן חיים מוסך מאיר למכונאות,מוסך מורשה,אילת 56,תל אביב -יפו,03-6825722,מכונאות רכב בנזין,כהן חיים,178151.18,662986.5,07:00 - 16:00,07:00 - 12:30,3.7,32.059444,34.767111
שמואלוב אליעזר - מוסך אהרון,מוסך מורשה,העליה 54,תל אביב -יפו,03-6826738,מכונאות אופנועים וקטנועים,שמואלוב אליעזר,178689.6,662666.36,07:00 - 16:00,07:00 - 12:00,4.5,32.056577,34.772826
אוטו גלס זגגות רכב בע מ,מוסך מורשה,המסגר 74,תל אביב -יפו,03-5620833,זגגות רכב,זכאי דוד עמרם,180095.87,663983.99,07:00 - 16:00,07:00 - 12:00,4.1,32.068509,34.787663
ש. קלעי ובנו בע מ,מוסך מורשה,טברסקי 7,תל אביב -יפו,03-5620345,מכונאות רכב בנזין,רושני דני,180213.61,663681.04,07:00 - 16:00,07:00 - 12:00,3.5,32.065781,34.788922
מוסך קרל בע מ,מוסך מורשה,היצירה 23,רמת גן,03-7515451,מכונאות רכב בנזין,ליליאן גיא,181465.61,665974.87,07:00 - 16:30,07:00 - 12:00,4.5,32.086509,34.80209
קופמן ישראל מוסך,מוסך מורשה,אברבנאל 7,תל אביב -יפו,03-6839047,מכונאות רכב בנזין,קופמן ישראל,178161.28,662859.84,07:00 - 16:30,07:00 - 12:30,4.8,32.058302,34.767223
שואף אריה צמיגים,מוסך מורשה,זבוטינסקי 37,רמת גן,03-7515089,תיקון והחלפת צמיגים,שואף יוסף,181952.58,665707.49,07:00 - 17:00,07:00 - 13:00,4.9,32.084114,34.807259
מוסך אקשטייןבע מ,מוסך מורשה,המנוע 10,תל אביב -יפו,03-6822629,תיקון מרכבי רכב,אקשטיין משה,177977.78,661933.47,07:00 - 16:00,סגור,4.3,32.049942,34.76532
חי לוי קור בע מ,מוסך מורשה,ישראל בק 22,תל אביב -יפו,03-5614471,שירות תיקון למזגן אויר לרכב,לוי ששון,180357.58,663953.03,07:00 - 16:00,סגור,4.3,32.068239,34.790436
חנאניא ויקטור צמיגי אנטון חנניה,מוסך מורשה,יפת 88,תל אביב -יפו,03-6828584,תיקון והחלפת צמיגים,חנאניא ויקטור,176766.08,661487.56,07:00 - 16:30,07:00 - 13:00,4.8,32.045876,34.75251
מ.א. ליין )ש.א.( בע מ,מוסך מורשה,וסרמן 7,תל אביב -יפו,03-5376499,תיקון מרכבי רכב,פלאס קוסטה,177747.68,662565.74,07:00 - 17:00,07:00 - 12:30,3.3,32.055635,34.762856
מוסך מוטי יעל ליסינג בע מ,מוסך מורשה,אילת 9,תל אביב -יפו,057-7578338,מכונאות רכב בנזין,שלו מרדכי,177598.19,662743.01,07:00 - 17:00,07:00 - 13:00,4.5,32.057228,34.761266
בית הצמיג חברת צמיגים בע מ,מוסך מורשה,הרכבת 4,תל אביב -יפו,03-5601189,תיקון והחלפת צמיגים,בן ארי שמואל,178968.74,663375.36,07:00 - 17:00,07:00 - 12:00,3.9,32.06298,34.775752
מוסך א. אהרון 2010 בע מ,מוסך מורשה,הרצל 2,ראשון לציון,03-9693020,מכונאות רכב בנזין,בן משה יעקב,181816.54,653322.39,07:00 - 17:00,סגור,4.0,31.972422,34.806301
שרף אילן מוסך פנחס,מוסך מורשה,פוריה 27,תל אביב -יפו,03-6826424,תיקון מרכבי רכב,שרף אילן,177838.46,662518.0,07:00 - 17:00,07:00 - 12:00,3.5,32.055208,34.76382
חיים ודרור מוסך הדרום 2018,מוסך מורשה,אמוראים 1,רחובות,054-8166622,מכונאות רכב בנזין,חיים מיזרחי,182704.71,643592.42,07:00 - 17:00,07:00 - 13:00,4.6,31.884707,34.816066
אוטו אור רמלה 2008 בע מ,מוסך מורשה,הרצל 135,רמלה,08-8228191,חשמלאות רכב,אל חטיב סעיד,188902.56,647777.9,07:00 - 16:30,07:00 - 12:30,3.4,31.922635,34.881441
שעיא סמיר,מוסך מורשה,סגולה 4,תל אביב -יפו,03-6821149,תיקון מרכבי רכב,שעיא סמיר,177519.24,662652.96,07:00 - 17:00,07:00 - 12:00,3.1,32.056413,34.760434
משאלוב צפריר אופנועי הקריה,מוסך מורשה,יצחק שדה 40,תל אביב -יפו,03-5621578,מכונאות אופנועים וקטנועים,משאלוב צפריר,180155.82,663585.62,07:00 - 16:30,סגור,4.4,32.064918,34.788314
מישאלוב אילן מוסך המהיר,מוסך מורשה,דרך פת 110,תל אביב -יפו,03-5626641,מכונאות אופנועים וקטנועים,משאלוב אילן,180248.42,664216.65,07:00 - 16:00,07:00 - 13:00,3.6,32.070612,34.789269
מוסך פריצל דוד,מוסך מורשה,הרצל 138,רחובות,08-9452074,מכונאות אופנועים וקטנועים,פריצל דוד,182387.3,644390.62,07:00 - 16:00,07:00 - 12:00,3.9,31.891895,34.812681
פרנסיס אריה מוסך חיים,מוסך מורשה,יצחק שדה 33,תל אביב -יפו,03-5622165,תיקון מרכבי רכב,פרנסיס אריה,180164.53,663618.18,07:00 - 17:00,07:00 - 12:00,4.0,32.065212,34.788405
חן שמעון מוסך אלי אשכנזי,מוסך מורשה,וסרמן 4,תל אביב -יפו,03-6825316,מכונאות רכב בנזין,חן שמעון,177755.49,662504.28,07:00 - 17:00,07:00 - 12:00,3.5,32.055081,34.762942
משאלוב אלי אבי גל אופנועים,מוסך מורשה,דרך פת 25,תל אביב -יפו,03-5602755,מכונאות אופנועים וקטנועים,מישאלוף רמי רן,179409.14,663485.89,07:00 - 16:00,07:00 - 12:30,4.8,32.063993,34.780411
סקסיק הני מוסך יפו למכונאות,מוסך מורשה,שלמה 12,תל אביב -יפו,03-6819364,מכונאות רכב בנזין,סקסיק האני,181458.35,663103.57,07:00 - 16:30,סגור,4.2,32.060616,34.802126
מוסך הידרוסטופ נפתלי בע מ,מוסך מורשה,הבנאי 26,חולון,03-5506814,מסגרות רכב )תיקון ארגזים),רובל זאב,181549.08,657934.38,07:00 - 16:30,07:00 - 12:00,3.2,32.014004,34.803291
חיימוב אדוארד מוסך הצפירה,מוסך מורשה,הצפירה 15,תל אביב -יפו,03-6876331,מכונאות רכב בנזין,חיימוב אדוארד,179550.24,663218.01,07:00 - 16:00,סגור,4.6,32.061582,34.781916
שרותי כיוון פרונט התחייה בע מ,מוסך מורשה,התחיה 22,תל אביב -יפו,03-6826858,תיקון וכוון מתלים ברכב,כהן אורי,177916.43,661893.76,07:00 - 17:00,07:00 - 12:00,4.5,32.049582,34.764672
קבוצת שגריר שירותי רכב בע מ,מוסך מורשה,המקצוע 3,תל אביב -יפו,03-6872908,תיקון מרכבי רכב,כחלון דוד,179843.92,663137.31,07:00 - 16:30,07:00 - 12:00,3.2,32.060865,34.785029
קרן משאבות בע מ,מוסך מורשה,הבנאי 4,חולון,03-5588070,מכונאות רכב בנזין,מזוז כליפה,181746.22,658222.44,07:00 - 17:00,07:00 - 12:30,3.0,32.016608,34.805366
קרסו מוטורס (2007) בע מ,מוסך מורשה,ריבל 24,תל אביב -יפו,03-6381100,מכונאות רכב בנזין,יונתנוב רפאל,179743.28,663316.92,07:00 - 16:00,סגור,4.6,32.062481,34.783956
בצלאל גיא-אלגק גיאגלס,מוסך מורשה,טברסקי 8,תל אביב -יפו,054-2270126,זגגות רכב,בצלאל גיא,180243.34,663699.24,07:00 - 16:30,07:00 - 12:00,3.1,32.065946,34.789236
אדמון יעקב המהיר,מוסך מורשה,הרצל 119,לוד,08-9222868,תיקון והחלפת צמיגים,אדמון יעקב,190488.09,651715.88,07:00 - 16:30,07:00 - 12:00,4.7,31.95819,34.898088
אסקרוב חיים מוסך אמיר,מוסך מורשה,גולומב 46,תל אביב -יפו,03-6912662,אוטוטק רכב קל,בן בסט יניב,179638.5,662248.29,07:00 - 16:00,סגור,3.6,32.052841,34.782891
סרנגה ישראל מוסך מעוז,מוסך מורשה,הנציב 4,תל אביב -יפו,03-5616657,תיקון מרכבי רכב,סרנגה ישראל,180305.25,663890.03,07:00 - 16:00,07:00 - 12:30,4.0,32.067669,34.789884
וייס עירן ספידומטר,מוסך מורשה,הנציב 19,תל אביב -יפו,03-5618372,תיקון מחוונים,וייס עירן,180318.48,664083.18,07:00 - 17:00,סגור,4.1,32.069411,34.790016
סלמון יצחק מוסך סלמון,מוסך מורשה,יצחק שדה 27,תל אביב -יפו,03-5622407,מכונאות אופנועים וקטנועים,סלומון יצחק,180112.11,663626.77,07:00 - 16:00,07:00 - 13:00,4.8,32.065288,34.787849
משולם עוזיאל מוסך עוזי בייק,מוסך מורשה,ההגנה 27,תל אביב -יפו,03-5372747,מכונאות אופנועים וקטנועים,סימן טוב יוסף,179945.42,662426.88,07:00 - 16:00,סגור,3.8,32.054462,34.786133
עזריה אריה מוסך טיל,מוסך מורשה,שונצינו 21,תל אביב -יפו,03-5621388,תיקון אחזקת רכב חשמלי/היברידי,גומעה מוחמד,180121.37,663905.91,07:00 - 17:00,07:00 - 13:00,3.7,32.067806,34.787936
המדביק בע מ,מוסך מורשה,בית אלפא 16,תל אביב -יפו,03-5617744,שיפוץ מכללי בלמים,עמרה רפאל,180264.24,663634.71,07:00 - 16:30,07:00 - 12:30,3.2,32.065365,34.78946
ניסים את שלמה בע מ,מוסך מורשה,אמץ 1,תל אביב -יפו,050-5204452,תיקון מרכבי רכב,סלמאן דוד,177766.57,662376.61,07:00 - 17:00,07:00 - 12:00,3.2,32.05393,34.763064
צפאני יחזקאל שרות יחזקאל,מוסך מורשה,הקישון 64,תל אביב -יפו,03-6826260,מכונאות אופנועים וקטנועים,צאפני יחזקאל,178434.65,662600.18,07:00 - 16:30,07:00 - 13:00,4.0,32.055971,34.770129
קפיצים לרכב חמילבסקי בע מ,מוסך מורשה,תמנע 17,חולון,03-5500731,תיקון קפיצים ברכב מנועי,מסארוה ראיד,181187.02,659087.83,07:00 - 16:30,07:00 - 13:00,3.2,32.024394,34.799413
מוסך האח הגדול - תומר לוי,מוסך מורשה,גרשון 42,תל אביב -יפו,03-5620333,מכונאות רכב בנזין,תומר לוי,180450.31,664001.91,07:00 - 16:30,07:00 - 12:00,4.5,32.068683,34.791416
סורני צדוק מוטו טי אל וי בעמ,מוסך מורשה,לבנדה 36,תל אביב -יפו,03-5377626,מכונאות אופנועים וקטנועים,סורני אלי,179675.08,662726.62,07:00 - 16:00,סגור,5.0,32.057155,34.783258
מזרחי משה,מוסך מורשה,פוריה 4,תל אביב -יפו,03-6831460,תיקון מרכבי רכב,מזרחי משה,177538.57,662533.47,07:00 - 16:30,07:00 - 13:00,3.9,32.055336,34.760643
רובין כדורי מוסך כדורי,מוסך מורשה,שניצלר 4,תל אביב -יפו,03-6823732,מכונאות רכב בנזין,רובין כדורי,177849.45,662550.67,07:00 - 16:30,סגור,3.5,32.055503,34.763934
דרכים מרכזי שירות לרכב בע מ,מוסך מורשה,מיטב 4,תל אביב -יפו,077-3019400,תיקון מרכבי רכב,כהן משה,180801.3,663624.77,07:00 - 16:30,סגור,3.0,32.065294,34.795148
נח פיזק - מוסך תיבת נח,מוסך מורשה,יקנעם 13,תל אביב -יפו,03-6817475,מכונאות רכב בנזין,פיזק נח,180864.8,664877.58,07:00 - 16:30,07:00 - 12:30,4.7,32.076593,34.79577
מוסך ונטורה בע מ,מוסך מורשה,טברסקי 16,תל אביב -יפו,03-5614863,מכונאות רכב בנזין,בנאי יורם,180253.61,663755.74,07:00 - 17:00,סגור,3.3,32.066456,34.789342
שמעון זנקו מוסך צוות לעניין,מוסך מורשה,הבנאי 10,חולון,03-5502242,תיקון מרכבי רכב,שמעון זנקו,181694.44,658143.71,07:00 - 16:00,סגור,3.5,32.015897,34.804821
מוסך אלי כהן בע מ,מוסך מורשה,פוריה 25,תל אביב -יפו,03-6828298,תיקון מרכבי רכב,כהן אליהו,177824.84,662527.07,07:00 - 17:00,סגור,3.4,32.055289,34.763675
מוסך ז'בנר מאיר בע מ,מוסך מורשה,לבנדה 51,תל אביב -יפו,03-6872813,תיקון מרכבי רכב,צורי דוד,179688.84,662878.97,07:00 - 17:00,07:00 - 13:00,3.7,32.05853,34.783398
כהן סמי שרותי חשמל,מוסך מורשה,בר כוכבא 14,חולון,03-5500938,חשמלאות רכב,כהן סמי,180376.64,658035.98,07:00 - 17:00,07:00 - 12:00,4.4,32.01488,34.790877
כהן את קונצק מוסך מגן,מוסך מורשה,תושיה 20,תל אביב -יפו,03-5618079,מכונאות רכב בנזין,קונצ'ק יעקב,180326.98,663750.93,07:00 - 16:30,07:00 - 12:00,3.8,32.066415,34.79012
בדש ציון מוסך הדלק,מוסך מורשה,האורגים 15,בת ים,03-5520742,חשמלאות רכב,בדש ציון,176110.54,657490.38,07:00 - 17:00,07:00 - 13:00,3.1,32.009805,34.745749
אלכס חשמל רכב - דורון ויאיר,מוסך מורשה,משכית 15,הרצלייה,052-4849080,מכונאות רכב בנזין,לוזון רחמים,182387.07,674636.89,07:00 - 16:30,סגור,3.4,32.164651,34.811516
שלמה לוי מוסך המלאכה,מוסך מורשה,המלאכה 17,חולון,03-5595004,מכונאות רכב בנזין,לוי שלמה,181479.68,658383.91,07:00 - 16:30,07:00 - 12:30,3.9,32.018056,34.802538
אילן קארגלס בע מ,מוסך מורשה,ישראל בק 5,תל אביב -יפו,03-5617076,זגגות רכב,בחמן נוריאל,180155.58,664017.68,07:00 - 17:00,07:00 - 12:30,5.0,32.068815,34.788294
טואיטו אלי המרכז,מוסך מורשה,גלגל 12,רחובות,08-9464115,מכונאות רכב בנזין,טויטו אלי,179544.06,643964.43,07:00 - 16:00,07:00 - 13:00,4.1,31.887955,34.782646
ב.ג מוסכים 2000 בע מ,מוסך מורשה,בית אלפא 6,תל אביב -יפו,03-5374011,מכונאות רכב בנזין,שוורץ אבי,180139.43,663659.08,07:00 - 17:00,07:00 - 13:00,4.6,32.06558,34.788137
אלוס צבי תיקון צמיגים,מוסך מורשה,דובנוב 7,תל אביב -יפו,03-6959976,תיקון והחלפת צמיגים,אלוס צבי,179696.26,664716.1,07:00 - 16:00,סגור,4.6,32.075097,34.7834
מוסך בראשית בע מ,מוסך מורשה,שמוטקין 21,ראשון לציון,03-9333990,מכונאות רכב בנזין,חסון גבריאל,182318.2,653862.35,07:00 - 16:00,סגור,3.4,31.977308,34.811588
מובילים וייט קומינס בערבון מוגבל,מוסך מורשה,החופר 28,חולון,073-2286104,מכונאות רכב בנזין,גולדנשטין איליה,181763.71,657643.14,07:00 - 17:00,07:00 - 13:00,4.9,32.011385,34.805574
יוסף אלעוברה מוסך לב העיר,מוסך מורשה,אצל 17,רמלה,054-9750115,תיקון מרכבי רכב,אל עוקבי סמיח,188381.23,648396.33,07:00 - 17:00,07:00 - 12:30,4.5,31.928198,34.875909
מויס נאדר את פדלון מוסך האחים,מוסך מורשה,אצל 1,רמלה,08-9220510,מכונאות רכב בנזין,מויס נאדר,188116.65,648471.73,07:00 - 16:00,07:00 - 12:00,4.5,31.928871,34.873109
כהנא אברהם מוסך מרום חן,מוסך מורשה,המסגר 15,תל אביב -יפו,03-6871021,מכונאות רכב בנזין,כהנא אבי,179847.38,663361.97,07:00 - 16:30,סגור,4.8,32.062891,34.785057
אסרף ליאור מוסך הסלע,מוסך מורשה,אהוד קינמון 6,בת ים,03-5511904,מכונאות רכב בנזין,איזמירלי שמואל,176624.76,657890.58,07:00 - 16:00,סגור,3.4,32.013434,34.751174
מעוז שרותי רכב ת א בע מ,מוסך מורשה,טברסקי 13,תל אביב -יפו,03-5617663,מכונאות רכב בנזין,עמית צדוק,180226.77,663740.05,07:00 - 16:30,07:00 - 12:30,4.9,32.066313,34.789059
מוסך סבנה בע מ,מוסך מורשה,התחיה 14,תל אביב -יפו,03-6829252,מכונאות רכב בנזין,חן דוד,177701.31,661988.5,07:00 - 16:00,07:00 - 13:00,4.2,32.050428,34.76239
שלומי איסקוב פחחות וצבע בע מ,מוסך מורשה,תושיה 7,תל אביב -יפו,052-5513537,תיקון מרכבי רכב,שלומי איסקוב,180201.13,663799.23,07:00 - 16:30,07:00 - 13:00,3.7,32.066846,34.788785
קשר רנט א-קאר בע מ,מוסך מורשה,מגשימים 10,פתח תקווה,03-9182111,תיקון מרכבי רכב,אלג'ם מאיר,186343.3,666331.27,07:00 - 16:30,07:00 - 12:00,3.4,32.089876,34.853744
חמני ברוך חשמל רכב,מוסך מורשה,הס 29,הרצלייה,03-9584808,מכונאות רכב בנזין,חמני ברוך,185259.68,674481.47,07:00 - 17:00,07:00 - 12:00,3.3,32.163341,34.841975
מ.ב. גבע שרותי רכב בע מ,מוסך מורשה,תושיה 24,תל אביב -יפו,03-5621883,מכונאות רכב בנזין,ברון יוסף,180361.77,663745.82,07:00 - 16:00,07:00 - 12:00,3.8,32.06637,34.790488
מוסך דוד מלכי,מוסך מורשה,שניצלר 23,תל אביב -יפו,03-6837398,מכונאות רכב בנזין,מלכי דוד,177808.53,662302.51,07:00 - 16:30,07:00 - 12:00,3.5,32.053264,34.763512
פרמון דני מוסך מרקו,מוסך מורשה,יפתח 5,לוד,08-9247961,מכונאות רכב בנזין,פרמון דני,189037.83,650688.17,07:00 - 16:30,07:00 - 13:00,3.8,31.948884,34.88278
יהודה אלול - מוסך האומנים י.א,מוסך מורשה,שניצלר 3,תל אביב -יפו,03-5504966,תיקון מרכבי רכב,לוי אהרון,177877.6,662554.88,07:00 - 16:30,סגור,4.3,32.055542,34.764232
חדד צביקה מכונאות רכב,מוסך מורשה,רמבם 11,נתניה,052-3582902,מכונאות רכב בנזין,חדד הרצל,186985.85,691352.89,07:00 - 17:00,סגור,4.2,32.315532,34.859701
אמסלם שלמה חשמל הגינגי',מוסך מורשה,העבודה 30,בת ים,03-5514147,חשמלאות רכב,אמסלם שלמה,176353.78,657259.76,07:00 - 17:00,סגור,3.4,32.007735,34.748334
א.ע.מ שרותי רכב  איימן אבו צעלוק,מוסך מורשה,שלמה 15,תל אביב -יפו,03-6814128,תיקון מרכבי רכב,מלכי יעקב,181428.21,663150.08,07:00 - 16:00,סגור,4.6,32.061034,34.801805
בני רומי צמיגים,מוסך מורשה,האורגים 6,חולון,052-6734437,תיקון והחלפת צמיגים,דיבירוב אלכס,181139.59,657587.52,07:00 - 16:00,סגור,4.6,32.010862,34.79897
מוסך טופז בע מ,מוסך מורשה,שלמה בן דוד 12,ראשון לציון,03-9698095,מכונאות רכב בנזין,עקרבי אבנר,182421.49,654115.94,07:00 - 16:30,סגור,4.7,31.979599,34.812671
מוטורוני  לפיד בע ם,מוסך מורשה,ראם 6,תל אביב -יפו,03-5621104,מכונאות רכב בנזין,סמן טוב יהודה,180256.72,663926.66,07:00 - 17:00,07:00 - 12:00,4.1,32.067997,34.789368
אופיר המכונאי האקדמאי בע מ,מוסך מורשה,הרכב 12,תל אביב -יפו,050-8345200,מכונאות רכב בנזין,רודניצקי אופיר,180019.92,663343.25,07:00 - 16:00,07:00 - 12:00,4.9,32.062728,34.786885
מרכז שרות אוטו שי בע מ,מוסך מורשה,האצל 21,ראשון לציון,03-6335193,מכונאות רכב בנזין,לוי יעקב,177876.7,655207.26,07:00 - 17:00,07:00 - 12:00,3.9,31.989282,34.76454
מוסך אחים קצב בע מ,מוסך מורשה,הבנאי 24,חולון,03-5508621,מכונאות רכב בנזין,הזז ליאופולד,181574.53,657941.66,07:00 - 16:00,07:00 - 12:30,4.8,32.014071,34.80356
מוסך רון אוחנה בע מ,מוסך מורשה,ישראל בק 18,תל אביב -יפו,03-5373204,מכונאות רכב בנזין,אוחנה רון,180294.07,663957.24,07:00 - 17:00,07:00 - 13:00,3.4,32.068274,34.789763
מוסך החולץ,מוסך מורשה,דרך לוד 98,תל אביב -יפו,03-6870263,מכונאות רכב בנזין,אביבי אבנר,181177.18,661573.61,07:00 - 16:00,סגור,4.4,32.04681,34.79921
ברכיל סאני חשמל רם,מוסך מורשה,משה שרת 14,ראשון לציון,03-9614157,חשמלאות רכב,ברכיל סאני,176765.4,655762.85,07:00 - 17:00,סגור,3.8,31.994251,34.752756
עמר שלמה,מוסך מורשה,תל חי 8,רמלה,08-9228151,תיקון אחזקת רכב חשמלי/היברידי,עמר אייל,188565.12,648161.15,07:00 - 16:30,סגור,3.1,31.926082,34.877861
מרי יוסף מוסך רם,מוסך מורשה,שונצינו 25,תל אביב -יפו,03-5620101,מכונאות רכב בנזין,שער אהרון,180140.64,663958.79,07:00 - 17:00,07:00 - 12:30,3.8,32.068283,34.788138
עמירם רייזברג מוסך סער,מוסך מורשה,שוקן 17,תל אביב -יפו,03-6822916,מכונאות רכב בנזין,כץ אילן,178657.65,662256.19,07:00 - 16:30,סגור,3.1,32.052877,34.772505
מוסך דיזל ראשלצ בעמ,מוסך מורשה,משה שרת 8,ראשון לציון,03-9527277,מכונאות רכב בנזין,סגמן רוני,176632.66,655844.99,07:00 - 16:30,07:00 - 13:00,4.8,31.994987,34.751348
עידן - י.ל.מ. מרכז הרכב בע מ,מוסך מורשה,שניצלר 14,תל אביב -יפו,03-5095702,תיקון מרכבי רכב,פבלוב ולדימיר,177832.15,662422.28,07:00 - 16:00,07:00 - 12:30,4.1,32.054344,34.763757
לוי חיים מוסך ראלינג,מוסך מורשה,שניצלר 21,תל אביב -יפו,03-6833184,מכונאות רכב בנזין,לוי חיים,177812.3,662315.12,07:00 - 16:00,07:00 - 12:30,4.4,32.053377,34.763551
אוטו בנץ בע מ,מוסך מורשה,הסוללים 6,תל אביב -יפו,03-5617044,מכונאות רכב בנזין,דיין יעקב,180849.1,664232.33,07:00 - 16:30,07:00 - 13:00,3.1,32.070774,34.79563
פנחס שי מוסך מירז,מוסך מורשה,אחד העם 7,נתניה,09-8612236,מכונאות אופנועים וקטנועים,פנחס שי,186989.96,692628.36,07:00 - 16:00,07:00 - 13:00,4.6,32.327033,34.859701
נמרודי משה דודג רובר מכונאות,מוסך מורשה,אילת 45,תל אביב -יפו,03-5174214,מכונאות רכב בנזין,נמרודי משה,177983.8,662905.07,07:00 - 16:30,סגור,4.5,32.058704,34.765342
מוסך ישראל טורס בעמ,מוסך מורשה,היצירה 37,רחובות,08-9461886,מכונאות רכב בנזין,טורס ישראל,179605.08,644142.54,07:00 - 17:00,07:00 - 13:00,3.1,31.889563,34.783283
אמנון ינאי רדייטורים ואגזוזים,מוסך מורשה,הסדנא 2,פתח תקווה,03-9248978,תיקון רדיאטורים )מצננים),אמנון ינאי,186912.37,666967.81,07:00 - 16:00,07:00 - 13:00,4.8,32.095633,34.859751
מוסך שחם ובניו בעמ,מוסך מורשה,היוזמים 3,אור יהודה,04-5330193,תיקון מרכבי רכב,שמוחה שלמה,187291.05,658793.86,07:00 - 16:30,07:00 - 12:30,3.7,32.021932,34.864035
מוסך גלי בע מ,מוסך מורשה,האצל 7,ראשון לציון,03-9619348,מכונאות רכב בנזין,כהן יעקב,178130.94,655072.05,07:00 - 17:00,07:00 - 12:30,3.2,31.988072,34.767236
זאדה מוסך,מוסך מורשה,אצל 62,תל אביב -יפו,03-6875164,מכונאות אופנועים וקטנועים,זדה משה,180551.05,661841.91,07:00 - 16:00,07:00 - 12:00,3.2,32.049208,34.79257
ב.ע.ל צמיגי אקסטרא (2008) בע מ,מוסך מורשה,אורט 12,נתניה,09-8945024,תיקון והחלפת צמיגים,שרעבי יהודה,188489.15,691485.55,07:00 - 17:00,סגור,3.7,32.316771,34.87566
אם.וי אס מוטור בע מ,מוסך מורשה,תמנע 21,חולון,052-2957692,מכונאות רכב בנזין,אלון אלי,181254.5,659033.01,07:00 - 16:00,07:00 - 12:00,3.3,32.023901,34.800129
לוי חנן מוסך חנן,מוסך מורשה,הרכב 14,נתניה,09-8619146,מכונאות רכב בנזין,לוי חנן,188502.9,691286.08,07:00 - 16:00,07:00 - 13:00,4.4,32.314972,34.875812
קומפיוטסט הנדסת ציוד לרכב בע מ,מוסך מורשה,החרוץ 3,תל אביב -יפו,03-5376418,בדיקות-רכב )קניה ומכירה),טפירו אלי,180264.61,663310.1,07:00 - 16:00,סגור,3.7,32.062438,34.789477
מוסך יהודה ויאיר בע מ,מוסך מורשה,שטיבל 5,תל אביב -יפו,03-5621778,תיקון מרכבי רכב,רביע סבח יאיר,180149.51,663741.37,07:00 - 16:00,07:00 - 12:00,3.4,32.066323,34.788241
מוסכי אביק שרותי רכב בעמ,מוסך מורשה,המנוע 3,תל אביב -יפו,03-6831216,תיקון מרכבי רכב,פלומר חיים,177964.05,661984.53,07:00 - 16:00,07:00 - 12:30,3.1,32.050402,34.765172
מסה ניסים,מוסך מורשה,סלמה 12,תל אביב -יפו,03-6829112,רפידות ותופי בלם,מסה ניסים,179067.4,664981.81,07:00 - 16:30,סגור,3.6,32.077471,34.776729
דור ניסים מוסך דור מוטורס,מוסך מורשה,היוגב 18,חולון,03-5560631,מכונאות רכב בנזין,דור ניסים,181759.03,657873.68,07:00 - 17:00,07:00 - 12:30,3.6,32.013464,34.805515
ג.מ פורטל בע מ,מוסך מורשה,ריבל 27,תל אביב -יפו,03-6875858,תיקון והחלפת צמיגים,ברקוביץ יועד,179721.82,663342.27,07:00 - 16:30,07:00 - 12:30,3.3,32.062709,34.783728
